TeamID,TeamName,Gender
1101,Abilene Chr,M
1102,Air Force,M
1103,Akron,M
1104,Alabama,M
1105,Alabama A&M,M
1106,Alabama St,M
1107,SUNY Albany,M
1108,Alcorn St,M
1110,American Univ,M
1111,Appalachian St,M
1112,Arizona,M
1113,Arizona St,M
1114,Ark Little Rock,M
1115,Ark Pine Bluff,M
1116,Arkansas,M
1117,Arkansas St,M
1119,Army,M
1120,Auburn,M
1122,Austin Peay,M
1123,Ball St,M
1124,Baylor,M
1125,Belmont,M
1126,Bethune-Cookman,M
1127,Binghamton,M
1129,Boise St,M
1130,Boston College,M
1131,Boston Univ,M
1132,Bowling Green,M
1133,Bradley,M
1135,Brown,M
1136,Bryant,M
1137,Bucknell,M
1138,Buffalo,M
1139,Butler,M
1140,BYU,M
1141,C Michigan,M
1142,Cal Poly,M
1143,California,M
1144,Campbell,M
1145,Canisius,M
1146,Cent Arkansas,M
1148,Central Conn,M
1149,Charleston So,M
1150,Charlotte,M
1151,Chattanooga,M
1152,Chicago St,M
1153,Cincinnati,M
1154,Citadel,M
1155,Clemson,M
1156,Cleveland St,M
1157,Coastal Car,M
1158,Col Charleston,M
1159,Colgate,M
1160,Colorado,M
1161,Colorado St,M
1162,Columbia,M
1163,Connecticut,M
1164,Coppin St,M
1165,Cornell,M
1166,Creighton,M
1167,CS Bakersfield,M
1168,CS Fullerton,M
1169,CS Northridge,M
1170,CS Sacramento,M
1171,Dartmouth,M
1172,Davidson,M
1173,Dayton,M
1174,Delaware,M
1175,Delaware St,M
1176,Denver,M
1177,DePaul,M
1178,Detroit,M
1179,Drake,M
1180,Drexel,M
1181,Duke,M
1182,Duquesne,M
1183,E Illinois,M
1184,E Kentucky,M
1185,E Michigan,M
1186,E Washington,M
1187,East Carolina,M
1188,SIUE,M
1189,Elon,M
1190,ETSU,M
1191,Evansville,M
1192,F Dickinson,M
1193,Fairfield,M
1194,FL Atlantic,M
1195,FGCU,M
1196,Florida,M
1197,Florida A&M,M
1198,Florida Intl,M
1199,Florida St,M
1200,Fordham,M
1201,Fresno St,M
1202,Furman,M
1203,G Washington,M
1204,Ga Southern,M
1205,Gardner Webb,M
1206,George Mason,M
1207,Georgetown,M
1208,Georgia,M
1209,Georgia St,M
1210,Georgia Tech,M
1211,Gonzaga,M
1212,Grambling,M
1213,Grand Canyon,M
1214,Hampton,M
1217,Harvard,M
1218,Hawaii,M
1219,High Point,M
1220,Hofstra,M
1221,Holy Cross,M
1222,Houston,M
1223,Houston Chr,M
1224,Howard,M
1225,Idaho,M
1226,Idaho St,M
1227,IL Chicago,M
1228,Illinois,M
1229,Illinois St,M
1230,Incarnate Word,M
1231,Indiana,M
1232,Indiana St,M
1233,Iona,M
1234,Iowa,M
1235,Iowa St,M
1236,PFW,M
1237,IUPUI,M
1238,Jackson St,M
1239,Jacksonville,M
1240,Jacksonville St,M
1241,James Madison,M
1242,Kansas,M
1243,Kansas St,M
1244,Kennesaw,M
1245,Kent,M
1246,Kentucky,M
1247,La Salle,M
1248,Lafayette,M
1249,Lamar,M
1250,Lehigh,M
1251,Liberty,M
1252,Lipscomb,M
1253,Long Beach St,M
1254,LIU Brooklyn,M
1255,Longwood,M
1256,Louisiana Tech,M
1257,Louisville,M
1258,Loy Marymount,M
1259,Loyola MD,M
1260,Loyola-Chicago,M
1261,LSU,M
1262,MA Lowell,M
1263,Maine,M
1264,Manhattan,M
1265,Marist,M
1266,Marquette,M
1267,Marshall,M
1268,Maryland,M
1269,Massachusetts,M
1270,McNeese St,M
1271,MD E Shore,M
1272,Memphis,M
1273,Mercer,M
1274,Miami FL,M
1275,Miami OH,M
1276,Michigan,M
1277,Michigan St,M
1278,Minnesota,M
1279,Mississippi,M
1280,Mississippi St,M
1281,Missouri,M
1282,Missouri KC,M
1283,Missouri St,M
1284,Monmouth NJ,M
1285,Montana,M
1286,Montana St,M
1287,Morehead St,M
1288,Morgan St,M
1290,MS Valley St,M
1291,Mt St Mary's,M
1292,MTSU,M
1293,Murray St,M
1294,N Colorado,M
1295,N Dakota St,M
1296,N Illinois,M
1297,N Kentucky,M
1298,Navy,M
1299,NC A&T,M
1300,NC Central,M
1301,NC State,M
1303,NE Omaha,M
1304,Nebraska,M
1305,Nevada,M
1306,New Hampshire,M
1307,New Mexico,M
1308,New Mexico St,M
1309,New Orleans,M
1310,Niagara,M
1311,Nicholls St,M
1312,NJIT,M
1313,Norfolk St,M
1314,North Carolina,M
1315,North Dakota,M
1316,North Florida,M
1317,North Texas,M
1318,Northeastern,M
1319,Northern Arizona,M
1320,Northern Iowa,M
1321,Northwestern,M
1322,Northwestern LA,M
1323,Notre Dame,M
1324,Oakland,M
1325,Ohio,M
1326,Ohio St,M
1328,Oklahoma,M
1329,Oklahoma St,M
1330,Old Dominion,M
1331,Oral Roberts,M
1332,Oregon,M
1333,Oregon St,M
1334,Pacific,M
1335,Penn,M
1336,Penn St,M
1337,Pepperdine,M
1338,Pittsburgh,M
1339,Portland,M
1340,Portland St,M
1341,Prairie View,M
1342,Presbyterian,M
1343,Princeton,M
1344,Providence,M
1345,Purdue,M
1346,Quinnipiac,M
1347,Radford,M
1348,Rhode Island,M
1349,Rice,M
1350,Richmond,M
1351,Rider,M
1352,Robert Morris,M
1353,Rutgers,M
1354,S Carolina St,M
1355,S Dakota St,M
1356,S Illinois,M
1357,Sacred Heart,M
1358,Sam Houston St,M
1359,Samford,M
1360,San Diego,M
1361,San Diego St,M
1362,San Francisco,M
1363,San Jose St,M
1364,UC Santa Barbara,M
1365,Santa Clara,M
1367,SC Upstate,M
1368,SE Louisiana,M
1369,SE Missouri St,M
1370,Seattle,M
1371,Seton Hall,M
1372,SF Austin,M
1373,Siena,M
1374,SMU,M
1375,South Alabama,M
1376,South Carolina,M
1377,South Dakota,M
1378,South Florida,M
1379,Southern Miss,M
1380,Southern Univ,M
1381,Southern Utah,M
1382,St Bonaventure,M
1384,St Francis PA,M
1385,St John's,M
1386,St Joseph's PA,M
1387,St Louis,M
1388,St Mary's CA,M
1389,St Peter's,M
1390,Stanford,M
1391,Stetson,M
1392,Stony Brook,M
1393,Syracuse,M
1394,TAM C. Christi,M
1395,TCU,M
1396,Temple,M
1397,Tennessee,M
1398,Tennessee St,M
1399,Tennessee Tech,M
1400,Texas,M
1401,Texas A&M,M
1402,Texas St,M
1403,Texas Tech,M
1404,TN Martin,M
1405,Toledo,M
1406,Towson,M
1407,Troy,M
1408,Tulane,M
1409,Tulsa,M
1410,UTRGV,M
1411,TX Southern,M
1412,UAB,M
1413,UC Davis,M
1414,UC Irvine,M
1415,UC Riverside,M
1416,UCF,M
1417,UCLA,M
1418,Louisiana,M
1419,ULM,M
1420,UMBC,M
1421,UNC Asheville,M
1422,UNC Greensboro,M
1423,UNC Wilmington,M
1424,UNLV,M
1425,USC,M
1426,UT Arlington,M
1427,UT San Antonio,M
1428,Utah,M
1429,Utah St,M
1430,Utah Valley,M
1431,UTEP,M
1433,VCU,M
1434,Valparaiso,M
1435,Vanderbilt,M
1436,Vermont,M
1437,Villanova,M
1438,Virginia,M
1439,Virginia Tech,M
1440,VMI,M
1441,W Carolina,M
1442,W Illinois,M
1443,WKU,M
1444,W Michigan,M
1447,Wagner,M
1448,Wake Forest,M
1449,Washington,M
1450,Washington St,M
1451,Weber St,M
1452,West Virginia,M
1453,WI Green Bay,M
1454,WI Milwaukee,M
1455,Wichita St,M
1456,William & Mary,M
1457,Winthrop,M
1458,Wisconsin,M
1459,Wofford,M
1460,Wright St,M
1461,Wyoming,M
1462,Xavier,M
1463,Yale,M
1464,Youngstown St,M
1465,Cal Baptist,M
1466,North Alabama,M
1467,Merrimack,M
1468,Bellarmine,M
1469,Utah Tech,M
1470,Tarleton St,M
1471,UC San Diego,M
1472,St Thomas MN,M
1473,Lindenwood,M
1474,Queens NC,M
1475,Southern Indiana,M
1476,Stonehill,M
1477,East Texas A&M,M
1478,Le Moyne,M
1479,Mercyhurst,M
1480,West Georgia,M
1481,New Haven,M
3101,Abilene Chr,W
3102,Air Force,W
3103,Akron,W
3104,Alabama,W
3105,Alabama A&M,W
3106,Alabama St,W
3107,SUNY Albany,W
3108,Alcorn St,W
3109,Alliant Intl,W
3110,American Univ,W
3111,Appalachian St,W
3112,Arizona,W
3113,Arizona St,W
3114,Ark Little Rock,W
3115,Ark Pine Bluff,W
3116,Arkansas,W
3117,Arkansas St,W
3118,Armstrong St,W
3119,Army,W
3120,Auburn,W
3121,Augusta,W
3122,Austin Peay,W
3123,Ball St,W
3124,Baylor,W
3125,Belmont,W
3126,Bethune-Cookman,W
3127,Binghamton,W
3128,Birmingham So,W
3129,Boise St,W
3130,Boston College,W
3131,Boston Univ,W
3132,Bowling Green,W
3133,Bradley,W
3134,Brooklyn,W
3135,Brown,W
3136,Bryant,W
3137,Bucknell,W
3138,Buffalo,W
3139,Butler,W
3140,BYU,W
3141,C Michigan,W
3142,Cal Poly,W
3143,California,W
3144,Campbell,W
3145,Canisius,W
3146,Cent Arkansas,W
3147,Centenary,W
3148,Central Conn,W
3149,Charleston So,W
3150,Charlotte,W
3151,Chattanooga,W
3152,Chicago St,W
3153,Cincinnati,W
3155,Clemson,W
3156,Cleveland St,W
3157,Coastal Car,W
